"trust";"anchor";"se";"gender";"scale";"t";"intTime";"N";"c";"pvc";"d";"cp";"pvcp";"dp";"pvdp";"cn";"pvcn";"dn";"pvdn";"tot";"sbt";"sbt2";"enhm";"enhsd";"totm";"totsd";"sbm";"sbsd";"sbtm";"sbtsd";"diffm";"diffsd"
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:1";0;1368;-0.0907937821264212;0.0112236971955031;0.590244523624282;-0.121974136488647;0.0223937129159107;0.616678639684035;4.38276190853546e-65;-0.0523805680884473;0.289872198567268;0.559713383349435;2.48175595299476e-57;2.12;0.630014188994708;1.15156385064158;1.4804;1.28125677936679;2.1389;0.808380594726054;0.6585;1.09103691861868;0.615313033436307;0.293537067041547;0.0431869665636932;1.04466361252157
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:1";240;1354;-0.0944389793822835;0.00854211318113874;0.593098478131953;-0.128005377020075;0.0167327248655025;0.621248270152762;1.99049708714445e-65;-0.0538768388558502;0.277615538650348;0.561003857569924;2.7352178857486e-57;2.11;0.658070558649668;1.20296423046958;1.64145;1.39797355044317;2.0911;0.812474222242802;0.44965;1.14369425997576;0.636947632167056;0.265948484683414;-0.187297632167056;1.12838764218027
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"2:2";0;1368;-0.073069149187137;0.0547235649041527;0.592788693571058;-0.0808021082704901;0.14637208632482;0.591777563866562;1.34138407905313e-62;-0.0806224356542865;0.149438367757696;0.602233883152162;6.32459477836499e-51;2.15;0.598265830810225;1.09441366277197;-1.1298;1.40125785560312;2.13815;0.758772532635049;3.26795;1.22065239064771;0.589755130741501;0.293363291658687;2.6781948692585;1.19482755559386
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"2:2";240;1354;-0.0695339809567493;0.0681741626662912;0.592493040142332;-0.0701617488371586;0.208419413501319;0.587571148363391;1.14352713936276e-61;-0.0840862540048918;0.134287531809303;0.606487226187986;4.95073969604631e-51;2.14;0.573921158278927;1.04987102463233;-0.9507;1.52164632807321;2.15045;0.836759301197605;3.10115;1.30186730116754;0.568917350481687;0.290936894741576;2.53223264951831;1.22240041109443
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"3:3";0;1368;-0.0903315021763027;0.0240011326757347;0.599165037060446;0.0382092579719947;0.465490543806435;0.538341853897156;2.85250931540301e-57;-0.225725945368875;0.00034924086002092;0.669989196359175;2.56214081988054e-51;2.07;0.695274352658941;1.2736711263181;2.30185;1.3422706620316;2.03165;0.774094236469096;-0.2702;1.11408116590359;0.696175693645598;0.288769499445689;-0.966375693645598;1.11459267362877
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"3:3";240;1354;-0.0880185885902715;0.0281646358232322;0.599485415892468;0.0339935251657256;0.517511945965529;0.542108820696423;2.05935095279846e-57;-0.216208954099256;0.000610700545114895;0.665947038501193;6.87628424192025e-51;2.06;0.677430985648612;1.24113751842976;2.26255;1.46162915833067;1.98405;0.839025575942371;-0.2785;1.28076639666025;0.700927822125425;0.286777542761417;-0.979427822125425;1.23811152253009
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"4:4";0;1368;-0.0129022470273871;0.739918586961646;0.528998974216622;0.103379890588413;0.0562003804309862;0.481594020342667;3.1130681288399e-45;-0.103022762065434;0.0750905996343985;0.563027877119167;3.33496691583585e-41;2.2;-0.00125962100933872;-0.00230609871280338;4.4576;1.4751660293236;2.35375;0.771758051431761;-2.10385;1.22536700583742;0.0131619835088655;0.263166775257801;-2.11701198350887;1.19814625310681
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"4:4";240;1354;-0.0102784532877105;0.791941372119458;0.527842907270581;0.109514894837713;0.0434576447359829;0.478673840476875;9.52356016321296e-45;-0.103209374829405;0.0762394845515902;0.563525622197086;1.07881033241073e-40;2.19;-0.0222614699143901;-0.0407471604048337;4.09295;1.58740545478761;2.1647;0.80964841926238;-1.92825;1.32046148378162;0.00111585554370559;0.251970983114475;-1.92936585554371;1.25946487680823
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:2";0;2736;-0.0827404074824684;0.00153954804524366;0.591955146067485;-0.100183985784944;0.00934177858243334;0.60323722605702;9.04315341611945e-126;-0.0640885303122071;0.0848390024110639;0.578815767526824;8.61820654048072e-106;2.14;0.600671862052383;1.09837231330224;0.34385;0.97081154338204;2.1648;0.593767428202297;1.82095;0.799642883546168;0.602858302322963;0.188206606949587;1.21809169767704;0.768868020267484
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:2";240;2708;-0.0827986768362169;0.00157292125366805;0.593217294675269;-0.0976376875971199;0.0114692975453771;0.603170406710594;3.80173637587835e-125;-0.0661546892161156;0.0762541549395003;0.581258648851408;8.68813031117789e-106;2.12;0.600415556788414;1.09795106028436;0.3178;0.982635242651363;2.06675;0.57286807087947;1.74895;0.84411852123351;0.588702814568731;0.191400893161937;1.16024718543127;0.804292645732657
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:3";0;4104;-0.0854581872352715;9.73047979042083e-05;0.594486102634859;-0.0467509151689112;0.132643593221031;0.578325405884114;2.27369211597878e-179;-0.111689515696637;0.000513573226478052;0.606132188407614;3.49670476154986e-155;2.12;0.582945367942393;1.06660793367466;1.0957;0.699388469418662;2.13785;0.407965755657193;1.04215;0.612567606770323;0.592886627077698;0.170587820778767;0.449263372922302;0.618445849604369
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:3";240;4062;-0.0847510457347517;0.000115408106223303;0.595444109447479;-0.0466984423867451;0.134018576579949;0.579681325282813;6.08991683665314e-179;-0.110362661453307;0.000613163491715494;0.606671944698072;8.53003126658308e-155;2.1;0.579344576216527;1.06009373953254;1.06915;0.838656965048956;2.0879;0.484518711619632;1.01875;0.751962883653149;0.584480877053959;0.160612643701967;0.434269122946041;0.742332399369472
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:4";0;5472;-0.066066471126966;0.000550072058819891;0.577385859557231;-0.00371592260243369;0.89084863476584;0.550795266508686;1.07065558874525e-218;-0.111772032700493;7.0253527658406e-05;0.59811496332192;2.199942776396e-195;2.14;0.421034522333859;0.770497157246476;1.8409;0.804178278441782;2.2765;0.789687139881657;0.4356;0.168521921989262;0.415370231896916;0.162360022562829;0.0202297681030836;0.0243003723403979
"[0, 10]";"[0, 100]";"[0, 5]";"all";"all";"1:4";240;5416;-0.0648035766020605;0.000723375973417736;0.577767777086684;-0.00186637398407667;0.945179231754902;0.550859674418138;1.14301034508145e-217;-0.111126939402267;8.09836689331443e-05;0.598897850075916;1.3736442352415e-194;2.13;0.412838424575153;0.75549832850056;1.6954;0.814768728168927;2.12255;0.778796905876632;0.42715;0.173301890428612;0.40679482284947;0.168074480688246;0.0203551771505296;0.0252482814932731
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:1";0;652;-0.0733809959813334;0.150892874710879;0.568667893509885;-0.0673040379508401;0.376723529519394;0.607827821465655;1.26042428152741e-31;-0.00663997049875638;0.924017021732025;0.493788112067355;3.43316993301795e-23;9.06;0.263325677218391;0.480907831124999;7.817;1.7632199873011;9.00275;1.10603185752005;1.18575;1.40361823808736;0.25596793465682;0.394081203784777;0.92978206534318;1.43166385991155
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:1";240;644;-0.0780012318314026;0.126744749524109;0.573423251662373;-0.0756584447012645;0.3179144347509;0.615082045276412;2.31743886639565e-32;-0.00895758203480018;0.89780193570807;0.496745610139508;2.47539515652583e-23;8.97;0.302414912054351;0.552408706676835;7.76775;1.86271440707145;9.0286;1.1587643045796;1.26085;1.62152784132774;0.284947818197215;0.417545967969131;0.975902181802785;1.57474764943292
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"2:2";0;652;-0.0788991144928052;0.156365268774398;0.604308196651523;-0.0687685528689581;0.362535774592817;0.640524419530491;7.30551211065507e-37;0.0405059462894482;0.636058058048481;0.490634354428809;7.82563690457157e-16;9.07;0.106218480449528;0.194243696064061;8.4199;2.08495206553481;9.03575;1.09363275394554;0.61585;1.87920470655693;0.0787827167274227;0.47238059993883;0.537067283272577;1.70195542528379
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"2:2";240;644;-0.0762833578638891;0.170863261634732;0.605459472518135;-0.0616725745701974;0.414451660484107;0.638263825273648;1.26646939412272e-36;0.0376609425108493;0.661288905018351;0.495972576595536;5.81169033045301e-16;8.99;0.0907014088779953;0.165866447805994;8.3835;2.29082345687152;9.0274;1.27451054355315;0.6439;1.87352938374577;0.0922170593456328;0.421222793054037;0.551682940654367;1.72064043768204
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"3:3";0;652;-0.109233613995453;0.0672220734683763;0.619644023712346;-0.0097433214555652;0.897761727399414;0.608758864629895;3.06540617322861e-32;-0.144230977795167;0.120631942322368;0.585441536370795;3.46055509230471e-19;8.96;0.571928229032847;1.04659937491827;10.45905;2.2063675774754;8.98035;1.12241680086961;-1.4787;1.92574786360283;0.553069910631625;0.464033702508027;-2.03176991063162;1.86628754941705
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"3:3";240;644;-0.104539243717784;0.0808381082946919;0.617610408941965;-0.0100174375982343;0.895614796028906;0.609265582462487;8.03469970075601e-32;-0.137214544966684;0.13952700285855;0.582538110329277;4.55165563738424e-19;8.88;0.547813978673904;1.00270357465185;10.31075;2.11780248710116;8.88675;1.15815914299483;-1.424;1.75474804559446;0.559125223203587;0.451966511658294;-1.98312522320359;1.70634741424873
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"4:4";0;652;0.0108846372686251;0.849926920712456;0.523495077239733;0.146568921993609;0.0677301135773036;0.483502478409783;2.67975605801604e-20;-0.04644817603591;0.57524481825648;0.508229896653507;8.80020544027747e-17;9.11;-0.356615327113934;-0.654312705066296;9.5857;2.19867125474277;9.0804;1.05896547601751;-0.5053;1.88652665608536;-0.334569857063318;0.411108108790344;-0.170730142936682;1.78456824705104
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"4:4";240;644;0.013364966839632;0.816953055888179;0.521781011474272;0.150469041374538;0.0618998396497126;0.48119952355292;4.9502150750759e-20;-0.0430753557169361;0.605281566365509;0.506024565629699;1.80034942398599e-16;9.03;-0.382423081382816;-0.701362602016057;9.43825;2.23853448054816;9.03095;1.11716241289435;-0.4073;1.9867540533095;-0.322993290058814;0.429017473468203;-0.084306709941186;1.87727735122858
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:2";0;1304;-0.0773833706745302;0.0408428913485797;0.587254917200819;-0.0735082387365791;0.169991179931415;0.627783361758618;2.32981543408888e-67;0.0182721769521758;0.737971569529866;0.491137148549311;1.52166563761621e-36;9.06;0.20215682893613;0.369437679976377;8.0955;1.44755442698901;9.0559;0.802007023866785;0.9604;1.09063571890746;0.206950455675216;0.275076512968898;0.753449544324784;1.04278170338644
