"id";"lastPage";"date";"echelleCroissante";"interet";"croyance_groupe";"HI";"VI";"HC";"VC";"selfEsteem";"age";"genre";"nationalite";"commentaire";"f(t)";"at";"numFeedback";"chgmtEval";"absChgmtEval";"chgmtFeedback";"signeChgmtFeedback";"signeF1";"signeF2";"signeF3";"signeF4";"a4ma0";"a2-a0";"feedbackPartielIndiv";"feedbackPartielCouple";"badSignChgmtIndiv";"badSignChgmtCouple";"atm1";"feedbacksEquilibres";"chgmtEvalSupFeedbackIndiv";"chgmtEvalSupFeedbackCouple";"ancrage";"ancrageHaut";"a0";"schwartz-universalism";"schwartz-Benevolence";"schwartz-Tradition";"schwartz-Conformity";"schwartz-Security";"schwartz-Power";"schwartz-Achievement";"schwartz-Hedonism";"schwartz-Stimulation";"schwartz-SelfDirection";"ecartAncrage";"schwartz-Conformity-pure";"schwartz-Security-pure";"meana";"atm1Div100";"absChgmtEvalRel";"interviewtime"
432;43;"26/02/2021 16:48";0;8;6;NA;NA;NA;NA;3.7;39;"Un homme";"France";"#N/A";91;86;0;0;0;0;"#N/A";"negatif";"negatif";"positif";"negatif";5;-5;0;0;0;0;-1;0;0;0;91;1;86;0.476191;0.309524;0.809524;-0.190476;-1.19048;-0.190476;0.309524;0.309524;-0.190476;-0.690476;-5;3;2;0.87;-0.01;NA;828.31
432;43;"26/02/2021 16:48";0;8;6;NA;NA;NA;NA;3.7;39;"Un homme";"France";"#N/A";72;85;1;-1;1;-14;"negatif";"negatif";"negatif";"positif";"negatif";5;-5;0;0;0;0;86;0;0;0;91;1;86;0.476191;0.309524;0.809524;-0.190476;-1.19048;-0.190476;0.309524;0.309524;-0.190476;-0.690476;-5;3;2;0.87;0.86;0.0714285714285714;828.31
432;43;"26/02/2021 16:48";0;8;6;NA;NA;NA;NA;3.7;39;"Un homme";"France";"#N/A";72;81;2;-4;4;-13;"negatif";"negatif";"negatif";"positif";"negatif";5;-5;0;0;0;0;85;0;0;0;91;1;86;0.476191;0.309524;0.809524;-0.190476;-1.19048;-0.190476;0.309524;0.309524;-0.190476;-0.690476;-5;3;2;0.87;0.85;0.307692307692308;828.31
432;43;"26/02/2021 16:48";0;8;6;NA;NA;NA;NA;3.7;39;"Un homme";"France";"#N/A";94;91;3;10;10;13;"positif";"negatif";"negatif";"positif";"negatif";5;-5;0;0;0;0;81;0;0;0;91;1;86;0.476191;0.309524;0.809524;-0.190476;-1.19048;-0.190476;0.309524;0.309524;-0.190476;-0.690476;-5;3;2;0.87;0.81;0.769230769230769;828.31
432;43;"26/02/2021 16:48";0;8;6;NA;NA;NA;NA;3.7;39;"Un homme";"France";"#N/A";77;91;4;0;0;-14;"negatif";"negatif";"negatif";"positif";"negatif";5;-5;0;0;0;0;91;0;0;0;91;1;86;0.476191;0.309524;0.809524;-0.190476;-1.19048;-0.190476;0.309524;0.309524;-0.190476;-0.690476;-5;3;2;0.87;0.91;0;828.31
433;43;"26/02/2021 21:23";1;6;5;NA;NA;NA;NA;1.9;19;"Une femme";"France";"#N/A";14;22;0;0;0;0;"#N/A";"positif";"positif";"negatif";"negatif";2;19;0;0;0;0;-1;1;0;0;14;0;22;0.133333;0.8;0.3;-0.2;-0.2;-1.2;-0.2;0.3;-0.7;0.8;8;2;2;0.3175;-0.01;NA;795.95
433;43;"26/02/2021 21:23";1;6;5;NA;NA;NA;NA;1.9;19;"Une femme";"France";"#N/A";35;30;1;8;8;13;"positif";"positif";"positif";"negatif";"negatif";2;19;0;0;0;0;22;1;0;0;14;0;22;0.133333;0.8;0.3;-0.2;-0.2;-1.2;-0.2;0.3;-0.7;0.8;8;2;2;0.3175;0.22;0.615384615384615;795.95
433;43;"26/02/2021 21:23";1;6;5;NA;NA;NA;NA;1.9;19;"Une femme";"France";"#N/A";44;41;2;11;11;14;"positif";"positif";"positif";"negatif";"negatif";2;19;0;0;0;0;30;1;0;0;14;0;22;0.133333;0.8;0.3;-0.2;-0.2;-1.2;-0.2;0.3;-0.7;0.8;8;2;2;0.3175;0.3;0.785714285714286;795.95
433;43;"26/02/2021 21:23";1;6;5;NA;NA;NA;NA;1.9;19;"Une femme";"France";"#N/A";28;32;3;-9;9;-13;"negatif";"positif";"positif";"negatif";"negatif";2;19;0;0;0;0;41;1;0;0;14;0;22;0.133333;0.8;0.3;-0.2;-0.2;-1.2;-0.2;0.3;-0.7;0.8;8;2;2;0.3175;0.41;0.692307692307692;795.95
433;43;"26/02/2021 21:23";1;6;5;NA;NA;NA;NA;1.9;19;"Une femme";"France";"#N/A";18;24;4;-8;8;-14;"negatif";"positif";"positif";"negatif";"negatif";2;19;0;0;0;0;32;1;0;0;14;0;22;0.133333;0.8;0.3;-0.2;-0.2;-1.2;-0.2;0.3;-0.7;0.8;8;2;2;0.3175;0.32;0.571428571428571;795.95
434;43;"26/02/2021 21:29";0;10;6;NA;NA;NA;NA;3.3;54;"Un homme";"France";"#N/A";19;36;0;0;0;0;"#N/A";"positif";"negatif";"positif";"negatif";-4;-5;0;0;0;0;-1;1;0;0;19;0;36;0.333333;0.333333;0.333333;0.833333;0.333333;-0.666667;0.333333;0.333333;-0.666667;-1.66667;17;3.5;3;0.37;-0.01;NA;674.04
434;43;"26/02/2021 21:29";0;10;6;NA;NA;NA;NA;3.3;54;"Un homme";"France";"#N/A";50;41;1;5;5;14;"positif";"positif";"negatif";"positif";"negatif";-4;-5;0;0;0;0;36;1;0;0;19;0;36;0.333333;0.333333;0.333333;0.833333;0.333333;-0.666667;0.333333;0.333333;-0.666667;-1.66667;17;3.5;3;0.37;0.36;0.357142857142857;674.04
434;43;"26/02/2021 21:29";0;10;6;NA;NA;NA;NA;3.3;54;"Un homme";"France";"#N/A";28;31;2;-10;10;-13;"negatif";"positif";"negatif";"positif";"negatif";-4;-5;0;0;0;0;41;1;0;0;19;0;36;0.333333;0.333333;0.333333;0.833333;0.333333;-0.666667;0.333333;0.333333;-0.666667;-1.66667;17;3.5;3;0.37;0.41;0.769230769230769;674.04
434;43;"26/02/2021 21:29";0;10;6;NA;NA;NA;NA;3.3;54;"Un homme";"France";"#N/A";44;44;3;13;13;13;"positif";"positif";"negatif";"positif";"negatif";-4;-5;0;0;0;0;31;1;0;0;19;0;36;0.333333;0.333333;0.333333;0.833333;0.333333;-0.666667;0.333333;0.333333;-0.666667;-1.66667;17;3.5;3;0.37;0.31;1;674.04
434;43;"26/02/2021 21:29";0;10;6;NA;NA;NA;NA;3.3;54;"Un homme";"France";"#N/A";30;32;4;-12;12;-14;"negatif";"positif";"negatif";"positif";"negatif";-4;-5;0;0;0;0;44;1;0;0;19;0;36;0.333333;0.333333;0.333333;0.833333;0.333333;-0.666667;0.333333;0.333333;-0.666667;-1.66667;17;3.5;3;0.37;0.44;0.857142857142857;674.04
435;43;"26/02/2021 22:33";0;7;6;NA;NA;NA;NA;3.3;41;"Une femme";"France";"#N/A";68;56;0;0;0;0;"#N/A";"positif";"negatif";"negatif";"positif";12;7;0;0;0;0;-1;1;0;0;68;1;56;0.285714;-0.047619;-0.047619;0.952381;0.952381;-1.04762;0.452381;-0.047619;-1.54762;-0.047619;-12;4;4;0.64;-0.01;NA;547.47
435;43;"26/02/2021 22:33";0;7;6;NA;NA;NA;NA;3.3;41;"Une femme";"France";"#N/A";70;66;1;10;10;14;"positif";"positif";"negatif";"negatif";"positif";12;7;0;0;0;0;56;1;0;0;68;1;56;0.285714;-0.047619;-0.047619;0.952381;0.952381;-1.04762;0.452381;-0.047619;-1.54762;-0.047619;-12;4;4;0.64;0.56;0.714285714285714;547.47
435;43;"26/02/2021 22:33";0;7;6;NA;NA;NA;NA;3.3;41;"Une femme";"France";"#N/A";53;63;2;-3;3;-13;"negatif";"positif";"negatif";"negatif";"positif";12;7;0;0;0;0;66;1;0;0;68;1;56;0.285714;-0.047619;-0.047619;0.952381;0.952381;-1.04762;0.452381;-0.047619;-1.54762;-0.047619;-12;4;4;0.64;0.66;0.230769230769231;547.47
435;43;"26/02/2021 22:33";0;7;6;NA;NA;NA;NA;3.3;41;"Une femme";"France";"#N/A";49;59;3;-4;4;-14;"negatif";"positif";"negatif";"negatif";"positif";12;7;0;0;0;0;63;1;0;0;68;1;56;0.285714;-0.047619;-0.047619;0.952381;0.952381;-1.04762;0.452381;-0.047619;-1.54762;-0.047619;-12;4;4;0.64;0.63;0.285714285714286;547.47
435;43;"26/02/2021 22:33";0;7;6;NA;NA;NA;NA;3.3;41;"Une femme";"France";"#N/A";72;68;4;9;9;13;"positif";"positif";"negatif";"negatif";"positif";12;7;0;0;0;0;59;1;0;0;68;1;56;0.285714;-0.047619;-0.047619;0.952381;0.952381;-1.04762;0.452381;-0.047619;-1.54762;-0.047619;-12;4;4;0.64;0.59;0.692307692307692;547.47
436;43;"26/02/2021 23:35";1;5;7;NA;NA;NA;NA;2.8;41;"Une femme";"France";"#N/A";89;75;0;0;0;0;"#N/A";"negatif";"negatif";"positif";"positif";3;-10;0;0;0;0;-1;1;0;0;89;1;75;1;-0.166667;-1.16667;0.833333;1.33333;-1.66667;-1.16667;0.333333;-1.16667;1.33333;-14;3.5;4;0.7075;-0.01;NA;621.73
436;43;"26/02/2021 23:35";1;5;7;NA;NA;NA;NA;2.8;41;"Une femme";"France";"#N/A";62;70;1;-5;5;-13;"negatif";"negatif";"negatif";"positif";"positif";3;-10;0;0;0;0;75;1;0;0;89;1;75;1;-0.166667;-1.16667;0.833333;1.33333;-1.66667;-1.16667;0.333333;-1.16667;1.33333;-14;3.5;4;0.7075;0.75;0.384615384615385;621.73
436;43;"26/02/2021 23:35";1;5;7;NA;NA;NA;NA;2.8;41;"Une femme";"France";"#N/A";56;65;2;-5;5;-14;"negatif";"negatif";"negatif";"positif";"positif";3;-10;0;0;0;0;70;1;0;0;89;1;75;1;-0.166667;-1.16667;0.833333;1.33333;-1.66667;-1.16667;0.333333;-1.16667;1.33333;-14;3.5;4;0.7075;0.7;0.357142857142857;621.73
